honitsu,1,2,3,
12,3725,1956,1380,367
13,2895,1664,1133,304
14,2418,1399,978,272
15,1808,1262,798,216
16,1448,1075,746,195
17,976,878,619,168
18,320,338,276,85
pair,0,1,2,3
0,0,0.015151515,0.125,
1,0.001913876,0.039115646,0.209302326,1
2,0.003633532,0.058068118,0.282868526,0.714285714
3,0.005956539,0.07525129,0.276276276,0.828571429
4,0.009953178,0.104502974,0.31705298,0.859375
5,0.014456786,0.120589718,0.365461847,0.846846847
6,0.019954023,0.144648649,0.392010536,0.851851852
7,0.023358897,0.177407896,0.421176471,0.878453039
8,0.02925881,0.192739204,0.414068745,0.904761905
9,0.031309429,0.204318182,0.410918324,0.85840708
10,0.035394024,0.211123581,0.401048493,0.79638009
11,0.036692101,0.208810221,0.413314176,0.700421941
12,0.041259058,0.207976795,0.384231537,0.685393258
13,0.039199606,0.200750469,0.354134165,0.610169492
14,0.038225773,0.207792208,0.335844995,0.586666667
15,0.042055282,0.210077519,0.335873707,0.569565217
